Test1: Formation of (S,G) Broadcast Tree
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,295                                       0  eth0  R5 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 3; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,299                                       1  eth1  R2 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 3; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,303                                       0  eth0  R5 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 3; NeighborSnapshotSN: 3; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,304                                       1  eth1  R4 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 3; NeighborSnapshotSN: 3; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,306                                       0  eth0  R5 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337593; MySnapshotSN: 3; NeighborSnapshotSN: 4; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,307                                       1  eth1  R2 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 3; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.5
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,424                                       2  eth2  R1 Received Hello message with HelloHoldTime: 40; CheckpointSN: 1 from neighbor 10.3.3.3
hpim.Interface                                     DEBUG    2020-06-16 19:59:57,623                                       2  eth2  R2 Received Hello message with HelloHoldTime: 40; CheckpointSN: 1 from neighbor 10.9.9.7
hpim.Interface                                     DEBUG    2020-06-16 19:59:58,514                                       0  eth0  R5 Received Hello message with HelloHoldTime: 40; CheckpointSN: 3 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:58,514                                       1  eth1  R4 Received Hello message with HelloHoldTime: 40; CheckpointSN: 3 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:58,514                                       0  eth0  R6 Received Hello message with HelloHoldTime: 40; CheckpointSN: 3 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:58,515                                       1  eth1  R3 Received Hello message with HelloHoldTime: 40; CheckpointSN: 3 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:58,518                                       1  eth1  R2 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:58,521                                       1  eth1  R4 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 4; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:58,523                                       1  eth1  R2 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 4; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:58,524                                       1  eth1  R4 Received Sync message with BootTime: 1592337594; NeighborBootTime: 1592337594; MySnapshotSN: 4; NeighborSnapshotSN: 4; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.5.5.2
hpim.Interface                                     DEBUG    2020-06-16 19:59:59,337                                       0  eth0  R5 Received Hello message with HelloHoldTime: 40; CheckpointSN: 4 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:59,337                                       1  eth1  R2 Received Hello message with HelloHoldTime: 40; CheckpointSN: 4 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:59,337                                       1  eth1  R3 Received Hello message with HelloHoldTime: 40; CheckpointSN: 4 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:59,337                                       0  eth0  R6 Received Hello message with HelloHoldTime: 40; CheckpointSN: 4 from neighbor 10.5.5.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:59,570                                       0  eth0  R4 Received Hello message with HelloHoldTime: 40; CheckpointSN: 0 from neighbor 10.4.4.1
hpim.Interface                                     DEBUG    2020-06-16 19:59:59,574                                       3  eth3  R1 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337596; MySnapshotSN: 1; NeighborSnapshotSN: 0; SyncSN: 0; Master flag: 1; More flag: 0 from neighbor 10.4.4.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:59,580                                       0  eth0  R4 Received Sync message with BootTime: 1592337596; NeighborBootTime: 1592337593; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 0; Master flag: 0; More flag: 0 from neighbor 10.4.4.1
hpim.Interface                                     DEBUG    2020-06-16 19:59:59,583                                       3  eth3  R1 Received Sync message with BootTime: 1592337593; NeighborBootTime: 1592337596; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 1; More flag: 0 from neighbor 10.4.4.4
hpim.Interface                                     DEBUG    2020-06-16 19:59:59,585                                       0  eth0  R4 Received Sync message with BootTime: 1592337596; NeighborBootTime: 1592337593; MySnapshotSN: 1; NeighborSnapshotSN: 1; SyncSN: 1; Master flag: 0; More flag: 0 from neighbor 10.4.4.1
hpim.KernelEntry.NonRootInterface.Downstream       DEBUG    2020-06-16 20:00:01,546   (10.1.1.100,224.12.12.12)           1  eth1  R1 Downstream interest state transitions to DownstreamInterest
hpim.KernelEntry.NonRootInterface.Downstream       DEBUG    2020-06-16 20:00:01,550   (10.1.1.100,224.12.12.12)           2  eth2  R1 Downstream interest state transitions to DownstreamInterest
hpim.KernelEntry.NonRootInterface.Downstream       DEBUG    2020-06-16 20:00:01,552   (10.1.1.100,224.12.12.12)           3  eth3  R1 Downstream interest state transitions to DownstreamInterest
hpim.Interface                                     DEBUG    2020-06-16 20:00:01,555                                       0  eth0  R2 Received IamUpstream message with BootTime: 1592337594; Tree: ('10.1.1.100', '224.12.12.12'); SN: 2; MetricPreference: 2; Metric: 0 from neighbor 10.2.2.1
hpim.Interface                                     DEBUG    2020-06-16 20:00:01,561                                       0  eth0  R4 Received IamUpstream message with BootTime: 1592337596; Tree: ('10.1.1.100', '224.12.12.12'); SN: 2; MetricPreference: 2; Metric: 0 from neighbor 10.4.4.1
hpim.Interface                                     DEBUG    2020-06-16 20:00:01,562                                       1  eth1  R1 Received Ack message with BootTime: 1592337593; NeighborBootTime: 1592337594; MySnapshotSN: 1; NeighborSnapshotSN: 1; Tree: ('10.1.1.100', '224.12.12.12'); SN: 2 from neighbor 10.2.2.2
